minutes thirty Your are up.,Your thirty minutes are up.,swap,2
Your threats don't scare me at all.,Your threats don't scare me at all.,deletion,3
Your time is over.,Your time is over.,insertion,1
Your time is up.,Your time is up.,insertion,1
Your voice sounds very familiar to me.,Your voice sounds very familiar to me.,deletion,6
Your wallet is on the television set.,Your wallet is on the television set.,insertion,5
Your watch is more expensive than mine.,Your watch is more expensive than mine.,deletion,0
Your watch is on the desk.,Your watch is on the desk.,insertion,3
ten watch is Your minutes slow.,Your watch is ten minutes slow.,swap,0
Your wife is going to ask you for a divorce.,Your wife is going to ask you for a divorce.,insertion,3
Your wife left.,Your wife left.,deletion,1
Your wife's on the phone. She says it's urgent.,Your wife's on the phone. She says it's urgent.,deletion,7
Your wish will come true in the near future.,Your wish will come true in the near future.,insertion,2
Your work has greatly improved.,Your work has greatly improved.,insertion,1
work Your is below average.,Your work is below average.,swap,0
Your is wristwatch on the table.,Your wristwatch is on the table.,swap,2
is zipper Your open.,Your zipper is open.,swap,2
is Yours better.,Yours is better.,swap,0
"Yours bad, not is either.","Yours is not bad, either.",swap,1
Yours over is there.,Yours is over there.,swap,1
Youth is wasted on the young.,Youth is wasted on the young.,insertion,2
You’d better lie low for a few weeks.,You’d better lie low for a few weeks.,insertion,1
You’ll see that right. I’m,You’ll see that I’m right.,swap,3
Zap it in the microwave for thirty seconds.,Zap it in the microwave for thirty seconds.,deletion,6
Zero comes before one.,Zero comes before one.,insertion,3
Zoology and botany deal with the study of life.,Zoology and botany deal with the study of life.,insertion,8
Zoology deals with the study of animal life.,Zoology deals with the study of animal life.,insertion,0
Zoos like are prisons for animals.,Zoos are like prisons for animals.,swap,1
Zurich is considered to be a major financial hub.,Zurich is considered to be a major financial hub.,deletion,7
iTunes has turned out to be a real cash cow for Apple.,iTunes has turned out to be a real cash cow for Apple.,insertion,7
